------------------------------------------------------------------------------------
Date: 3/20/2025 -- 18:16:02 (uptime: 0d, 00h 00m 17s)
tcp.memuse                                    | Total                     | 4980992
tcp.reassembly_memuse                         | Total                     | 940032
flow.memuse                                   | Total                     | 7234304
------------------------------------------------------------------------------------
Date: 3/20/2025 -- 18:16:50 (uptime: 0d, 00h 01m 05s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 2180
capture.afpacket.polls                        | Total                     | 5980
capture.afpacket.poll_timeout                 | Total                     | 4018
capture.afpacket.poll_data                    | Total                     | 1962
decoder.pkts                                  | Total                     | 2181
decoder.bytes                                 | Total                     | 237223
decoder.ipv4                                  | Total                     | 2084
decoder.ethernet                              | Total                     | 2181
decoder.arp                                   | Total                     | 8
decoder.unknown_ethertype                     | Total                     | 89
decoder.tcp                                   | Total                     | 2041
tcp.syn                                       | Total                     | 12
tcp.synack                                    | Total                     | 3
tcp.rst                                       | Total                     | 6
decoder.udp                                   | Total                     | 37
decoder.avg_pkt_size                          | Total                     | 108
decoder.max_pkt_size                          | Total                     | 2866
tcp.active_sessions                           | Total                     | 4
flow.total                                    | Total                     | 11
flow.active                                   | Total                     | 11
flow.tcp                                      | Total                     | 5
flow.udp                                      | Total                     | 6
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 5
decoder.event.ipv4.opt_pad_required           | Total                     | 6
tcp.sessions                                  | Total                     | 4
tcp.ssn_from_pool                             | Total                     | 4
tcp.segment_from_pool                         | Total                     | 18
app_layer.flow.tls                            | Total                     | 3
app_layer.flow.dhcp                           | Total                     | 1
app_layer.tx.dhcp                             | Total                     | 1
app_layer.flow.failed_udp                     | Total                     | 5
flow.mgr.full_hash_pass                       | Total                     | 5
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9500
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 15
flow.mgr.flows_notimeout                      | Total                     | 15
memcap_pressure                               | Total                     | 7
memcap_pressure_max                           | Total                     | 7
tcp.memuse                                    | Total                     | 4980992
tcp.reassembly_memuse                         | Total                     | 940032
flow.memuse                                   | Total                     | 7234304
------------------------------------------------------------------------------------
Date: 3/20/2025 -- 18:16:58 (uptime: 0d, 00h 01m 13s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 2574
capture.afpacket.polls                        | Total                     | 7044
capture.afpacket.poll_timeout                 | Total                     | 4687
capture.afpacket.poll_data                    | Total                     | 2357
decoder.pkts                                  | Total                     | 2580
decoder.bytes                                 | Total                     | 279751
decoder.ipv4                                  | Total                     | 2470
decoder.ethernet                              | Total                     | 2580
decoder.arp                                   | Total                     | 8
decoder.unknown_ethertype                     | Total                     | 102
decoder.tcp                                   | Total                     | 2423
tcp.syn                                       | Total                     | 13
tcp.synack                                    | Total                     | 3
tcp.rst                                       | Total                     | 6
decoder.udp                                   | Total                     | 40
decoder.avg_pkt_size                          | Total                     | 108
decoder.max_pkt_size                          | Total                     | 2866
tcp.active_sessions                           | Total                     | 4
flow.total                                    | Total                     | 11
flow.active                                   | Total                     | 10
flow.tcp                                      | Total                     | 5
flow.udp                                      | Total                     | 6
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 5
